reporter_id,*designation
8618,Freelancer
17283,Presenter
35931,
37653,"Cinematographer, Director, Photographer, And Singer-Songwriter."
37736,Operations Manager
37748,Reporter
73534,"Actor, Dancer"
116411,Director
125154,"Wrestler, Football"
147316,Freelancer
191801,Radio Journalist
203137,Professor
228137,Journalist
237374,Journalist
240989,Journaliste
247592,Contributeur
247773,
250850,Journaliste
250864,Photographe / Journaliste
251138,Chroniqueur
251205,Writer
251537,Photojournaliste
252248,Writer
253427,Assistante De Rédaction
257033,Author
261325,Host
263026,Journaliste
263636,Journaliste Cinéma
266614,Presentadora
267332,Collaboratore
270592,Writer
274898,Collaborator
274996,Journaliste Freelancer
275548,Author
275966,Author
276774,Host
279435,Writer
280908,Writer
281492,Journaliste Indépendante
283286,Journaliste Responsable D'Édition
283821,Journalist
284380,Journalist
286180,Periodista
286311,Correspondante
290449,Journaliste
291134,Journalist
291161,Journalist
292217,"Scrittore, Cronista"
305157,Vicedirettore
316164,
319494,Giornalista
319730,Journaliste-Présentatrice
321344,Journalist
321654,Animatrice
322484,Rédacteur
322954,Freelancer
329278,Writer
331260,Sports Journalist
332185,Giornalista
334635,Columnista
334886,Journalist
338614,Journaliste Numérique
338875,Journalist
341170,Contributor
342488,Writer
344620,Journaliste
345863,Journaliste
346377,Journalist & Podcast Producer
346838,Journalist
348607,Écrvain,Writer
349876,Chef De Service - Suppléments,Head of Service - Supplements
350209,Narrador,Storyteller
350392,Press Correspondent
350457,Journalist
354199,Adjoint Au Directeur Départemental,Assistant to the Departmental Director
354524,Locutor Redactor,Speaker Editor
361559,Rédactrice En Chef,Editor in Chief
362420,Journaliste Santé Indépendante,Freelance Health Journalist
363386,Coordinamento Di Redazione
363982,Writer
364582,Journaliste
365492,Journalist
365736,Chef Des Sports
365868,Writer
366860,Owner
367833,Fondateur /  Chroniqueur
367976,Chroniqueuse
368354,Journaliste
368405,Redchef Société
368770,Writer
369094,Reporter
369233,Journalist
369333,Photojournaliste
369337,Photojournaliste
370400,Journaliste De Course
371232,Chef D'Édition
371488,Jefa De Redaccion
371624,Co-Fondateur & Journaliste
371961,Writer
372252,Consultant/Presenter
372590,Rédactrice
372806,Journaliste Sportif
372851,Writer
374577,Freelance Journalist/Radio Host
375237,Journaliste
376513,Escritora
377683,Vice Caposervizio
378360,Rédactrice En Chef Adjointe
378886,Rédactrice Freelancer
379853,Writer
380194,Éditorialiste
381301,Rédactrice Freelancer
381513,Journaliste
382688,Co-Présentateur
383789,Chroniqueur Polémiste
383864,Fondatore E Caporedattore
383945,Radio Host
384245,Rédactrice En Chef
385101,"Cofondateur, Membre Du Comité Éditorial"
385208,Journalist
386400,Journaliste Chef D'Agence
386463,Journaliste
386756,Journaliste
387095,Local Correspondent
388093,Speaker Autore
388213,Foreign Affairs Journalist
388366,Chef D'Édition
389683,Journaliste
390017,El Periodista
390536,Giornalista Freelancer - Cronachefermane.It
391468,Ournaliste
392499,Journaliste
393127,Journaliste Service Des Sports
393131,Journaliste Rédactrice
393525,Columnist
393685,Journalist
395401,Présentatrice Météo
395566,Writer
395831,Journalist And Film Critic
395838,Journalist
395971,Journalist
396040,Periodista
396388,Journaliste
396563,Staff Writer
396673,Éditrice/Productrice
396747,Caporedattore
396835,Journalist
397286,Chef D Édition
397697,Journaliste
397710,Journalist
397801,Journalist
397831,Journalist
397947,"Journaliste, Chef D’Édition"
398136,Journaliste Local
398385,Journalist
398775,Journaliste
399460,Giornalista
399496,Editor
399700,Giornalista Professionista
399797,Journaliste
400215,Collaboratore
400235,"Writer, Podcaster"
400829,Journalist
400992,Giornalista E Scrittrice
401139,Presentador De Noticias
401464,Radio Host
401481,Grafico & Fotografo
402297,Collaborateur
402323,Photojournaliste
402896,Jefe De Sección
402945,Presentadora
402968,Journalist
403369,Periodista
403888,Journaliste
404062,Journaliste Chef De Rubrique
405120,Redacteur En Chef Adjoint
406813,Corrispondente
407497,Journaliste
407666,"Rédacteur En Chef ,Animateur, Journaliste"
407670,Journaliste
407825,Éditrice
407911,Journaliste
408061,Writer
408156,Journaliste
408959,Scrittore
409088,Freelance Blogger
409099,Scrittrice
409482,Giornalista
409913,Redattore
410004,Giornalista
410220,Direttore / Giornalista
410373,Journalist
411222,Freelancer
412032,Journalist
412322,Journalist
412717,Journaliste
412838,Author
412950,Journalist
413013,Opinionista
413036,Journalist
413046,Journalist
414077,Journalist
414203,Periodista
414274,Locutora
415001,Journaliste
415754,Collaborator / Web Content Editor
416178,Journalist
416661,Giornalista Freelancer
416980,Éditorialiste Économique
417775,Journaliste Reporteur D'Images
418056,Journaliste Stagiaire
418477,Rédacteur En Chef
419054,Journalist
419096,Journalist
419221,Journalist
419313,Writer
419654,Rédacteur En Chef Adjoint
420117,Caporedattore
421203,Rédacteur En Chef
421208,Journalist
421288,Journaliste Échelon Local
422498,Giornalista
422519,Writer
422934,Journaliste/Chroniqueur
423061,Journalist
423167,Cap D'Informatius I Esports
423869,Éditeur
424123,Redactor Jefe
424711,Journalist
424985,Journaliste
425081,Présentateur
425157,Journalist
425357,Journalist
425610,Journaliste
425764,Écrivaine
426072,Direttore
427955,Journaliste
436897,Collaboratore
440948,Présentatrice Météo
444586,Chroniqueur
